Province,Confirmed,Deaths,Recovered,Latitude,Longitude,Date
Anhui,1,0,0,32,117,22-01-2020
Anhui,9,0,0,32,117,23-01-2020
Anhui,15,0,0,32,117,24-01-2020
Anhui,39,0,0,32,117,25-01-2020
Anhui,60,0,0,32,117,26-01-2020
Anhui,70,0,0,32,117,27-01-2020
Anhui,106,0,0,32,117,28-01-2020
Anhui,152,0,2,32,117,29-01-2020
Anhui,200,0,2,32,117,30-01-2020
Anhui,237,0,3,32,117,31-01-2020
Anhui,297,0,5,32,117,01-02-2020
Anhui,340,0,7,32,117,02-02-2020
Anhui,408,0,14,32,117,03-02-2020
Anhui,480,0,20,32,117,04-02-2020
Anhui,530,0,23,32,117,05-02-2020
Anhui,591,0,34,32,117,06-02-2020
Anhui,665,0,47,32,117,07-02-2020
Anhui,733,0,59,32,117,08-02-2020
Anhui,779,1,72,32,117,09-02-2020
Anhui,830,3,88,32,117,10-02-2020
Anhui,860,4,105,32,117,11-02-2020
Anhui,889,4,127,32,117,12-02-2020
Anhui,910,5,157,32,117,13-02-2020
Anhui,934,6,193,32,117,14-02-2020
Anhui,950,6,221,32,117,15-02-2020
Anhui,962,6,255,32,117,16-02-2020
Anhui,973,6,280,32,117,17-02-2020
Anhui,982,6,361,32,117,18-02-2020
Anhui,986,6,413,32,117,19-02-2020
Anhui,987,6,474,32,117,20-02-2020
Anhui,988,6,539,32,117,21-02-2020
Anhui,989,6,597,32,117,22-02-2020
Anhui,989,6,637,32,117,23-02-2020
Anhui,989,6,663,32,117,24-02-2020
Anhui,989,6,712,32,117,25-02-2020
Anhui,989,6,744,32,117,26-02-2020
Anhui,989,6,792,32,117,27-02-2020
Anhui,990,6,821,32,117,28-02-2020
Anhui,990,6,868,32,117,29-02-2020
Anhui,990,6,873,32,117,01-03-2020
Anhui,990,6,917,32,117,02-03-2020
Anhui,990,6,936,32,117,03-03-2020
Anhui,990,6,956,32,117,04-03-2020
Anhui,990,6,970,32,117,05-03-2020
Anhui,990,6,979,32,117,06-03-2020
Anhui,990,6,979,32,117,07-03-2020
Anhui,990,6,984,32,117,08-03-2020
Anhui,990,6,984,32,117,09-03-2020
Anhui,990,6,984,32,117,10-03-2020
Anhui,990,6,984,32,117,11-03-2020
Anhui,990,6,984,32,117,12-03-2020
Anhui,990,6,984,32,117,13-03-2020
Anhui,990,6,984,32,117,14-03-2020
Anhui,990,6,984,32,117,15-03-2020
Beijing,14,0,0,39.906217,116.3912757,22-01-2020
Beijing,22,0,0,39.906217,116.3912757,23-01-2020
Beijing,36,0,1,39.906217,116.3912757,24-01-2020
Beijing,41,0,2,39.906217,116.3912757,25-01-2020
Beijing,68,0,2,39.906217,116.3912757,26-01-2020
Beijing,80,1,2,39.906217,116.3912757,27-01-2020
Beijing,91,1,4,39.906217,116.3912757,28-01-2020
Beijing,111,1,4,39.906217,116.3912757,29-01-2020
Beijing,114,1,4,39.906217,116.3912757,30-01-2020
Beijing,139,1,5,39.906217,116.3912757,31-01-2020
Beijing,168,1,9,39.906217,116.3912757,01-02-2020
Beijing,191,1,9,39.906217,116.3912757,02-02-2020
Beijing,212,1,12,39.906217,116.3912757,03-02-2020
Beijing,228,1,23,39.906217,116.3912757,04-02-2020
Beijing,253,1,24,39.906217,116.3912757,05-02-2020
Beijing,274,1,31,39.906217,116.3912757,06-02-2020
Beijing,297,1,33,39.906217,116.3912757,07-02-2020
Beijing,315,2,34,39.906217,116.3912757,08-02-2020
Beijing,326,2,37,39.906217,116.3912757,09-02-2020
Beijing,337,2,44,39.906217,116.3912757,10-02-2020
Beijing,342,3,48,39.906217,116.3912757,11-02-2020
Beijing,352,3,56,39.906217,116.3912757,12-02-2020
Beijing,366,3,69,39.906217,116.3912757,13-02-2020
Beijing,372,3,80,39.906217,116.3912757,14-02-2020
Beijing,375,4,98,39.906217,116.3912757,15-02-2020
Beijing,380,4,108,39.906217,116.3912757,16-02-2020
Beijing,381,4,114,39.906217,116.3912757,17-02-2020
Beijing,387,4,122,39.906217,116.3912757,18-02-2020
Beijing,393,4,145,39.906217,116.3912757,19-02-2020
Beijing,395,4,153,39.906217,116.3912757,20-02-2020
Beijing,396,4,169,39.906217,116.3912757,21-02-2020
Beijing,399,4,178,39.906217,116.3912757,22-02-2020
Beijing,399,4,189,39.906217,116.3912757,23-02-2020
Beijing,399,4,198,39.906217,116.3912757,24-02-2020
Beijing,400,4,215,39.906217,116.3912757,25-02-2020
Beijing,400,4,235,39.906217,116.3912757,26-02-2020
Beijing,410,5,248,39.906217,116.3912757,27-02-2020
Beijing,410,7,257,39.906217,116.3912757,28-02-2020
Beijing,411,8,271,39.906217,116.3912757,29-02-2020
Beijing,413,8,276,39.906217,116.3912757,01-03-2020
Beijing,414,8,282,39.906217,116.3912757,02-03-2020
Beijing,414,8,288,39.906217,116.3912757,03-03-2020
Beijing,418,8,297,39.906217,116.3912757,04-03-2020
Beijing,418,8,297,39.906217,116.3912757,05-03-2020
Beijing,422,8,299,39.906217,116.3912757,06-03-2020
Beijing,426,8,303,39.906217,116.3912757,07-03-2020
Beijing,428,8,308,39.906217,116.3912757,08-03-2020
Beijing,428,8,315,39.906217,116.3912757,09-03-2020
Beijing,429,8,320,39.906217,116.3912757,10-03-2020
Beijing,435,8,326,39.906217,116.3912757,11-03-2020
Beijing,435,8,334,39.906217,116.3912757,12-03-2020
Beijing,436,8,342,39.906217,116.3912757,13-03-2020
Beijing,437,8,349,39.906217,116.3912757,14-03-2020
Beijing,442,8,353,39.906217,116.3912757,15-03-2020
Chongqing,6,0,0,29.5585712,106.5492822,22-01-2020
Chongqing,9,0,0,29.5585712,106.5492822,23-01-2020
Chongqing,27,0,0,29.5585712,106.5492822,24-01-2020
Chongqing,57,0,0,29.5585712,106.5492822,25-01-2020
Chongqing,75,0,0,29.5585712,106.5492822,26-01-2020
Chongqing,110,0,0,29.5585712,106.5492822,27-01-2020
Chongqing,132,0,0,29.5585712,106.5492822,28-01-2020
Chongqing,147,0,1,29.5585712,106.5492822,29-01-2020
Chongqing,182,0,1,29.5585712,106.5492822,30-01-2020
Chongqing,211,0,1,29.5585712,106.5492822,31-01-2020
Chongqing,247,1,3,29.5585712,106.5492822,01-02-2020
Chongqing,300,2,7,29.5585712,106.5492822,02-02-2020
Chongqing,337,2,9,29.5585712,106.5492822,03-02-2020
Chongqing,366,2,9,29.5585712,106.5492822,04-02-2020
Chongqing,389,2,15,29.5585712,106.5492822,05-02-2020
Chongqing,411,2,24,29.5585712,106.5492822,06-02-2020
Chongqing,426,2,31,29.5585712,106.5492822,07-02-2020
Chongqing,428,2,39,29.5585712,106.5492822,08-02-2020
Chongqing,468,2,51,29.5585712,106.5492822,09-02-2020
Chongqing,486,2,66,29.5585712,106.5492822,10-02-2020
Chongqing,505,3,79,29.5585712,106.5492822,11-02-2020
Chongqing,518,3,102,29.5585712,106.5492822,12-02-2020
Chongqing,529,4,128,29.5585712,106.5492822,13-02-2020
Chongqing,537,5,152,29.5585712,106.5492822,14-02-2020
Chongqing,544,5,184,29.5585712,106.5492822,15-02-2020
Chongqing,551,5,207,29.5585712,106.5492822,16-02-2020
Chongqing,553,5,225,29.5585712,106.5492822,17-02-2020
Chongqing,555,5,254,29.5585712,106.5492822,18-02-2020
Chongqing,560,5,274,29.5585712,106.5492822,19-02-2020
Chongqing,567,6,299,29.5585712,106.5492822,20-02-2020
Chongqing,572,6,316,29.5585712,106.5492822,21-02-2020
Chongqing,573,6,328,29.5585712,106.5492822,22-02-2020
Chongqing,575,6,335,29.5585712,106.5492822,23-02-2020
Chongqing,576,6,349,29.5585712,106.5492822,24-02-2020
Chongqing,576,6,372,29.5585712,106.5492822,25-02-2020
Chongqing,576,6,384,29.5585712,106.5492822,26-02-2020
Chongqing,576,6,401,29.5585712,106.5492822,27-02-2020
Chongqing,576,6,422,29.5585712,106.5492822,28-02-2020
Chongqing,576,6,438,29.5585712,106.5492822,29-02-2020
Chongqing,576,6,450,29.5585712,106.5492822,01-03-2020
Chongqing,576,6,469,29.5585712,106.5492822,02-03-2020
Chongqing,576,6,490,29.5585712,106.5492822,03-03-2020
Chongqing,576,6,502,29.5585712,106.5492822,04-03-2020
Chongqing,576,6,512,29.5585712,106.5492822,05-03-2020
Chongqing,576,6,513,29.5585712,106.5492822,06-03-2020
Chongqing,576,6,526,29.5585712,106.5492822,07-03-2020
